Download Winning Numbers from www.calottery.com on 1/14/2017 (manually updated daily)  for MEGA MILLIONS

------  -------------------      --------    --------    --------    --------    --------    ------
Draw #     Draw Date             Number_1    Number_2    Number_3    Number_4    Number_5     Mega
------  -------------------      --------    --------    --------    --------    --------    ------

1710     Fri  Nov 12, 2021          30          32          42          46          48          15
1709     Tue  Nov 09, 2021          09          14          16          26          49          14
1708     Fri  Nov 05, 2021          10          15          20          66          68          18
1707     Tue  Nov 02, 2021          10          65          26          05          58          09
1706     Fri  Oct 29, 2021          15          26          28          35          45          04
1705     Tue  Oct 26, 2021          06          14          19          56          62          09
1704     Fri  Oct 22, 2021          66          14          09          29          26          22
1703     Tue  Oct 19, 2021          52          13          03          19          12          01
1702     Fri  Oct 15, 2021          20          34          03          31          65          18
1701     Tue  Oct 12, 2021          21          26          56          61          65          04
1700     Fri  Oct 08, 2021          21          24          36          40          70          22
1699     Tue  Oct 05, 2021          07          11          18          30          36          04
1698     Fri  Oct 01, 2021          21          25          36          62          63          06
1697     Tue  Sep 28, 2021          18          30          43          68          69          22
1696     Fri  Sep 24, 2021          17          21          27          43          56          15
1695     Tue  Sep 21, 2021          36          41          45          51          56          13
1694     Fri  Sep 17, 2021          17          32          40          59          61          18
1693     Tue  Sep 14, 2021          04          13          19          63          64          16
1692     Fri  Sep 10, 2021          20          32          35          47          64          18
1691     Tue  Sep 07, 2021          15          17          25          32          53          12
1690     Fri  Sep 03, 2021          07          10          12          61          65          03
1689     Tue  Aug 31, 2021          08          14          31          58          68          15
1688     Fri  Aug 27, 2021          01          10          44          47          56          23
1687     Tue  Aug 24, 2021          17          18          26          52          67          19
1686     Fri  Aug 20, 2021          41          43          51          57          70          01
1685     Tue  Aug 17, 2021          03          06          16          38          56          24
1685     Fri  Aug 13, 2021          17          21          35          40          53          11
1684     Tue  Aug 10, 2021          29          45          50          59          62          12
1683     Fri  Aug 06, 2021          09          18          40          46          69          09
1682     Tue  Aug 03, 2021          01          09          17          27          34          24
1681     Fri  Jul 30, 2021          19          26          31          52          68          10
1680     Tue  Jul 27, 2021          02          35          36          54          64          11
1679     Fri  Jul 23, 2021          13          17          19          40          69          17
1678     Tue  Jul 20, 2021          10          26          30          52          57          10
1677     Fri  Jul 16, 2021          24          25          47          52          57          24
1676     Tue  Jul 13, 2021          03          10          17          26          55          24
1675     Fri  Jul 09, 2021          06          37          39          41          46          17
1674     Tue  Jul 06, 2021          18          47          63          68          69          14
1673     Fri  Jul 02, 2021          08          31          32          34          45          19
1672     Tue  Jun 29, 2021          07          38          50          52          69          21
1671     Fri  Jun 25, 2021          17          20          42          45          65          12
